行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,金崙村,372,1064,206,1642,24,1666,0,1666,1570,3236,51.48
,多良村,202,544,164,910,16,926,0,926,828,1754,52.79
,總計,1704,4542,4074,10320,144,10464,0,10464,8438,18902,55.36
大武鄉,,846,2640,1512,4998,56,5054,0,5054,5410,10464,48.3
,大竹村,120,508,98,726,10,736,0,736,712,1448,50.83
,大鳥村,272,724,146,1142,10,1152,0,1152,1012,2164,53.23
,大武村,204,640,432,1276,16,1292,0,1292,1430,2722,47.47
,尚武村,166,464,640,1270,18,1288,0,1288,1710,2998,42.96
,南興村,84,304,196,584,2,586,0,586,546,1132,51.77
,總計,846,2640,1512,4998,56,5054,0,5054,5410,10464,48.3
綠島鄉,,600,1070,494,2164,28,2192,0,2192,4076,6268,34.97
,公舘村,172,274,128,574,12,586,0,586,1032,1618,36.22
,中寮村,180,342,158,680,10,690,0,690,1286,1976,34.92
,南寮村,248,454,208,910,6,916,0,916,1758,2674,34.26
,總計,600,1070,494,2164,28,2192,0,2192,4076,6268,34.97
海端鄉,,658,2140,674,3472,76,3548,0,3548,2868,6416,55.3
,廣原村,102,542,124,768,28,796,0,796,702,1498,53.14
,霧鹿村,44,234,54,332,8,340,0,340,212,552,61.59
,利稻村,52,146,98,296,4,300,0,300,164,464,64.66
,海端村,226,558,208,992,16,1008,0,1008,812,1820,55.38
,崁頂村,118,342,98,558,8,566,0,566,530,1096,51.64
,加拿村,116,318,92,526,12,538,0,538,448,986,54.56
,總計,658,2140,674,3472,76,3548,0,3548,2868,6416,55.3
延平鄉,,462,1980,670,3112,60,3172,0,3172,2276,5448,58.22
,武陵村,72,480,86,638,12,650,0,650,462,1112,58.45
,永康村,58,232,50,340,4,344,0,344,204,548,62.77
,紅葉村,42,278,94,414,14,428,0,428,376,804,53.23
,鸞山村,130,364,76,570,12,582,0,582,516,1098,53.01
,桃源村,160,626,364,1150,18,1168,0,1168,718,1886,61.93
,總計,462,1980,670,3112,60,3172,0,3172,2276,5448,58.22
金峰鄉,,618,2368,332,3318,44,3362,0,3362,2102,5464,61.53
,新興村,78,450,72,600,6,606,0,606,310,916,66.16
,正興村,164,474,62,700,8,708,0,708,368,1076,65.8
,嘉蘭村,246,866,130,1242,14,1256,0,1256,978,2234,56.22
