行政區別,村里別,何孟樺,侯漢廷,劉仕傑,劉榮之,劉耀仁,吳世正,吳崢,吳志剛,吳怡萱,吳欣岱,吳沛憶,吳蕚洋,呂增塔,張四維,張幸松,張志豪,張文潔,張斯綱,張榮法,張渝江,徐千淳,徐巧芯,徐弘庭,徐正文,徐立信,應曉薇,戴錫欽,曾獻瑩,曾琳詒,李光輝,李建昌,李彥秀,李明賢,李有宜,李柏毅,李菁琪,林世宗,林亮君,林元敏,林婕麗,林岳龍,林延鳳,林志穎,林杏兒,林柏勛,林泓泰,林珍羽,林瑞圖,林穎孟,柳采葳,梁文傑,楊寶楨,楊植斗,楊靜宇,江志銘,汪志冰,洪健益,洪士奇,洪婉臻,游淑慧,王世堅,王孝維,王欣儀,王郁揚,王閔生,王鴻薇,王麒傑,秦慧珠,簡舒培,耿葳,苗博雅,華珮君,葉林傳,蘇府庭,蘇恆,許家蓓,許淑華,詹晉鑒,詹為元,趙怡翔,連紹傑,邵維倫,郝淑薏,郭昭巖,郭智亭,郭榮先,鄭建炘,鄭淑娟,鄭穎隆,鍾佩玲,鍾小平,鍾沛君,闕枚莎,陳宥丞,陳志明,陳思宇,陳怡君,陳慈慧,陳政忠,陳樹霖,陳炳甫,陳聖文,陳賢蔚,陳重文,陳錦祥,項豪,顏若芳,高世俊,高揚凱,高毓安,黃瀞瑩,黃郁芬
中正區,三愛里,,,,,734.0,,,1040.0,812.0,,1036.0,,6.0,,,,,,154.0,,,,,,630.0,984.0,,,92.0,,,,,254.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,654.0,,,,,,,,4.0,,,,,,,,,,,,,,,366.0,,536.0,18.0,,,,,,1014.0,,,,,,,,,8.0,,,,,,,,,,,,
中正區,光復里,,,,,228.0,,,422.0,336.0,,450.0,,2.0,,,,,,54.0,,,,,,366.0,370.0,,,30.0,,,,,92.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,4.0,,,,,,,,,,,,,,,156.0,,466.0,2.0,,,,,,308.0,,,,,,,,,2.0,,,,,,,,,,,,
中正區,南福里,,,,,740.0,,,1488.0,1096.0,,1184.0,,10.0,,,,,,166.0,,,,,,976.0,1274.0,,,70.0,,,,,476.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,932.0,,,,,,,,4.0,,,,,,,,,,,,,,,418.0,,870.0,18.0,,,,,,1312.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,南門里,,,,,138.0,,,294.0,216.0,,214.0,,2.0,,,,,,74.0,,,,,,292.0,250.0,,,26.0,,,,,108.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,206.0,,,,,,,,6.0,,,,,,,,,,,,,,,140.0,,212.0,4.0,,,,,,460.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,富水里,,,,,106.0,,,200.0,272.0,,176.0,,2.0,,,,,,72.0,,,,,,114.0,292.0,,,28.0,,,,,68.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,2.0,,,,,,,,,,,,,,,62.0,,460.0,6.0,,,,,,240.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,幸市里,,,,,360.0,,,694.0,344.0,,604.0,,10.0,,,,,,66.0,,,,,,450.0,428.0,,,52.0,,,,,124.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,6.0,,,,,,,,,,,,,,,242.0,,226.0,6.0,,,,,,416.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,幸福里,,,,,400.0,,,490.0,450.0,,570.0,,2.0,,,,,,84.0,,,,,,500.0,538.0,,,44.0,,,,,140.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,388.0,,,,,,,,10.0,,,,,,,,,,,,,,,150.0,,626.0,16.0,,,,,,462.0,,,,,,,,,2.0,,,,,,,,,,,,
中正區,廈安里,,,,,326.0,,,326.0,416.0,,356.0,,2.0,,,,,,120.0,,,,,,404.0,348.0,,,34.0,,,,,116.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,428.0,,,,,,,,4.0,,,,,,,,,,,,,,,354.0,,736.0,16.0,,,,,,252.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,建國里,,,,,94.0,,,284.0,148.0,,192.0,,0.0,,,,,,18.0,,,,,,108.0,134.0,,,12.0,,,,,40.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,,0.0,,,,,,,,,,,,,,,70.0,,186.0,4.0,,,,,,140.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,忠勤里,,,,,646.0,,,476.0,478.0,,418.0,,2.0,,,,,,196.0,,,,,,616.0,804.0,,,60.0,,,,,178.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,588.0,,,,,,,,4.0,,,,,,,,,,,,,,,302.0,,1028.0,16.0,,,,,,540.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,愛國里,,,,,244.0,,,454.0,234.0,,302.0,,2.0,,,,,,42.0,,,,,,318.0,308.0,,,20.0,,,,,98.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,328.0,,,,,,,,2.0,,,,,,,,,,,,,,,280.0,,266.0,2.0,,,,,,296.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,文北里,,,,,550.0,,,972.0,484.0,,652.0,,0.0,,,,,,104.0,,,,,,480.0,562.0,,,54.0,,,,,176.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,6.0,,,,,,,,,,,,,,,192.0,,350.0,10.0,,,,,,450.0,,,,,,,,,0.0,,,,,,,,,,,,
中正區,文盛里,,,,,284.0,,,326.0,256.0,,358.0,,4.0,,,,,,78.0,,,,,,168.0,308.0,,,28.0,,,,,72.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,232.0,,,,,,,,2.0,,,,,,,,,,,,,,,96.0,,266.0,8.0,,,,,,326.0,,,,,,,,,8.0,,,,,,,,,,,,
中正區,文祥里,,,,,642.0,,,1154.0,722.0,,920.0,,2.0,,,,,,116.0,,,,,,690.0,718.0,,,68.0,,,,,230.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,616.0,,,,,,,,8.0,,,,,,,,,,,,,,,316.0,,578.0,24.0,,,,,,800.0,,,,,,,,,2.0,,,,,,,,,,,,
