行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
北投區,中庸里,4,4,2,0,4,1586,6,2,6,1568,1098,2
北投區,中心里,2,16,0,2,8,2668,20,0,2,2282,1830,0
北投區,八仙里,0,12,4,0,2,2150,12,0,4,2096,1532,2
北投區,吉利里,2,10,0,0,16,3130,14,2,12,2216,2092,4
北投區,吉慶里,2,4,4,0,12,1922,4,0,4,2054,1468,0
北投區,大同里,6,22,0,6,12,2120,8,0,0,2398,1482,2
北投區,大屯里,2,2,2,2,4,406,8,2,2,656,372,2
北投區,奇岩里,6,24,2,4,24,4826,10,0,2,4360,3210,4
北投區,尊賢里,2,6,0,0,2,1666,10,0,2,2132,1368,0
北投區,建民里,0,12,0,2,14,1820,2,2,2,2046,1216,0
北投區,振華里,2,14,2,0,20,3410,2,2,2,2638,1820,2
北投區,文化里,0,6,4,4,12,2492,4,4,2,958,1092,0
北投區,文林里,2,10,2,2,4,1668,6,0,2,1934,1182,0
北投區,智仁里,2,18,2,4,6,2780,22,4,4,2156,1820,2
北投區,東華里,2,6,0,2,6,2248,12,2,2,1536,1202,2
北投區,林泉里,0,4,0,2,2,1336,4,0,0,916,774,2
北投區,桃源里,2,18,2,4,14,2496,6,0,4,2564,1796,0
北投區,榮光里,0,10,0,0,10,3040,10,0,2,2410,1970,2
北投區,榮華里,6,14,0,4,18,3368,20,2,2,2730,1986,6
北投區,永和里,0,24,4,2,20,3878,8,0,2,3754,2322,2
北投區,永明里,2,2,0,4,4,2146,6,0,4,1674,1314,0
北投區,永欣里,0,14,0,12,12,3556,16,0,0,2790,2180,0
北投區,泉源里,4,2,4,4,6,878,12,0,0,998,512,2
北投區,洲美里,4,8,0,0,4,752,2,0,0,1284,846,0
北投區,清江里,6,16,0,8,12,3686,8,2,2,3582,2322,0
北投區,湖山里,0,10,2,0,2,728,2,0,0,682,294,2
北投區,湖田里,0,2,4,2,2,426,2,0,0,328,200,2
北投區,溫泉里,2,10,0,4,12,2816,4,2,2,2690,1742,6
北投區,石牌里,0,6,2,0,10,2130,6,0,2,2184,1382,0
北投區,福興里,2,12,2,0,10,3004,6,0,2,2658,2206,0
北投區,秀山里,4,4,0,0,10,1496,4,0,0,1198,874,0
北投區,稻香里,0,12,4,2,14,2642,8,2,2,1876,1446,4
北投區,立賢里,0,10,2,0,6,2256,6,0,0,2088,1704,0
北投區,立農里,0,12,4,2,24,3632,14,0,2,3474,2912,4
北投區,裕民里,0,8,4,0,8,3422,8,0,0,2910,2086,0
北投區,豐年里,0,6,0,4,10,1892,4,4,4,1560,1268,0
北投區,長安里,0,14,0,8,10,2446,4,2,0,2326,1670,4
