行政區別,村里別,丁守中,吳蕚洋,姚文智,李錫錕,柯文哲
萬華區,新忠里,2440,18,282,22,1222
萬華區,新起里,2542,24,1418,12,2912
萬華區,日善里,1424,24,958,22,1994
萬華區,日祥里,3250,24,920,32,2190
萬華區,柳鄉里,1860,26,1584,34,2372
萬華區,榮德里,1382,16,992,24,1792
萬華區,福星里,2570,18,1108,28,2358
萬華區,福音里,1458,16,996,20,2070
萬華區,糖廍里,2210,38,1458,34,2762
萬華區,綠堤里,1822,16,908,18,1886
萬華區,興德里,1664,30,1142,32,2338
萬華區,菜園里,2232,30,1658,36,3052
萬華區,華中里,2428,48,1714,36,3464
萬華區,華江里,3186,34,2070,26,4288
萬華區,萬壽里,1396,16,700,0,1198
萬華區,西門里,1552,4,656,12,1686
萬華區,銘德里,1696,18,1194,34,2474
萬華區,錦德里,1948,32,1494,40,2768
萬華區,雙園里,1554,22,1178,20,2428
萬華區,青山里,2272,10,1518,42,2490
萬華區,頂碩里,2590,24,2130,30,3508
萬華區,騰雲里,1850,16,576,24,1426
