行政區別,村里別,宋楚瑜/余湘,蔡英文/賴清德,韓國瑜/張善政,宋楚瑜/余湘_黨籍,蔡英文/賴清德_黨籍,韓國瑜/張善政_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
內湖區,港華里,556,6602,4814,親民黨,民主進步黨,中國國民黨,684,1179,14,1193,1490,0,3,1
內湖區,港都里,346,4106,2874,親民黨,民主進步黨,中國國民黨,675,1247,6,1253,1549,0,3,1
內湖區,湖元里,296,3884,2894,親民黨,民主進步黨,中國國民黨,780,1213,10,1223,1550,0,3,1
內湖區,湖濱里,566,5282,5232,親民黨,民主進步黨,中國國民黨,693,1264,15,1279,1550,0,3,1
內湖區,湖興里,416,5298,3976,親民黨,民主進步黨,中國國民黨,776,1147,11,1158,1506,0,3,1
內湖區,瑞光里,288,2810,3140,親民黨,民主進步黨,中國國民黨,741,1131,15,1146,1485,0,3,1
內湖區,瑞陽里,474,4644,5396,親民黨,民主進步黨,中國國民黨,736,1212,13,1225,1533,0,3,1
內湖區,石潭里,270,2690,2154,親民黨,民主進步黨,中國國民黨,773,1138,13,1151,1485,0,3,1
內湖區,碧山里,384,4968,3910,親民黨,民主進步黨,中國國民黨,713,322,6,328,439,0,3,1
內湖區,秀湖里,390,4026,3810,親民黨,民主進步黨,中國國民黨,788,1075,16,1091,1447,0,3,1
內湖區,紫星里,454,6016,4334,親民黨,民主進步黨,中國國民黨,698,1157,14,1171,1462,0,3,1
內湖區,紫陽里,484,5868,4476,親民黨,民主進步黨,中國國民黨,731,1057,11,1068,1360,0,3,1
內湖區,紫雲里,400,3456,3748,親民黨,民主進步黨,中國國民黨,718,1012,9,1021,1319,0,3,1
內湖區,葫洲里,494,4652,3986,親民黨,民主進步黨,中國國民黨,727,1167,6,1173,1502,0,3,1
內湖區,蘆洲里,72,996,526,親民黨,民主進步黨,中國國民黨,808,797,8,805,1119,0,3,1
內湖區,行善里,454,5106,3626,親民黨,民主進步黨,中國國民黨,769,1009,7,1016,1336,0,3,1
內湖區,西安里,416,4676,3786,親民黨,民主進步黨,中國國民黨,667,1034,18,1052,1350,0,3,1
內湖區,西康里,678,6322,5582,親民黨,民主進步黨,中國國民黨,661,998,19,1017,1305,0,3,1
內湖區,西湖里,406,5632,3796,親民黨,民主進步黨,中國國民黨,656,950,13,963,1222,0,3,1
內湖區,週美里,532,6334,4108,親民黨,民主進步黨,中國國民黨,764,1142,17,1159,1503,0,3,1
內湖區,金湖里,596,6088,5382,親民黨,民主進步黨,中國國民黨,795,1207,15,1222,1569,0,3,1
內湖區,金瑞里,370,4712,3630,親民黨,民主進步黨,中國國民黨,709,1083,13,1096,1402,0,3,1
內湖區,金龍里,340,3872,2938,親民黨,民主進步黨,中國國民黨,706,1218,18,1236,1538,0,3,1
內湖區,麗山里,328,4558,2784,親民黨,民主進步黨,中國國民黨,809,1066,12,1078,1343,0,3,1
北投區,一德里,372,5994,3268,親民黨,民主進步黨,中國國民黨,143,859,12,871,1178,0,3,1
北投區,中和里,274,3502,2738,親民黨,民主進步黨,中國國民黨,120,843,10,853,1134,0,3,1
北投區,中央里,490,6630,3628,親民黨,民主進步黨,中國國民黨,88,854,5,859,1153,0,3,1
北投區,中庸里,214,3336,1908,親民黨,民主進步黨,中國國民黨,113,919,9,928,1281,0,3,1
北投區,中心里,360,4510,3266,親民黨,民主進步黨,中國國民黨,109,998,12,1010,1378,0,3,1
北投區,八仙里,326,4254,2600,親民黨,民主進步黨,中國國民黨,71,943,14,957,1235,0,3,1
北投區,吉利里,410,4598,3770,親民黨,民主進步黨,中國國民黨,51,1111,18,1129,1427,0,3,1
北投區,吉慶里,270,4072,2182,親民黨,民主進步黨,中國國民黨,55,1065,20,1085,1386,0,3,1
北投區,大同里,306,4782,2462,親民黨,民主進步黨,中國國民黨,98,954,13,967,1276,0,3,1
北投區,大屯里,68,1084,390,親民黨,民主進步黨,中國國民黨,159,771,10,781,1081,0,3,1
北投區,奇岩里,612,7854,5334,親民黨,民主進步黨,中國國民黨,76,1163,15,1178,1581,0,3,1
北投區,尊賢里,214,3766,2102,親民黨,民主進步黨,中國國民黨,58,1005,11,1016,1307,0,3,1
北投區,建民里,292,3354,2104,親民黨,民主進步黨,中國國民黨,1,969,8,977,1272,0,3,1
北投區,振華里,412,5232,4072,親民黨,民主進步黨,中國國民黨,29,969,10,979,1255,0,3,1
北投區,文化里,224,2248,2954,親民黨,民主進步黨,中國國民黨,129,845,6,851,1078,0,3,1
北投區,文林里,236,3470,2048,親民黨,民主進步黨,中國國民黨,4,906,6,912,1167,0,3,1
北投區,智仁里,312,4350,3102,親民黨,民主進步黨,中國國民黨,123,943,11,954,1243,0,3,1
北投區,東華里,248,3080,2494,親民黨,民主進步黨,中國國民黨,48,825,12,837,1072,0,3,1
北投區,林泉里,162,1996,1596,親民黨,民主進步黨,中國國民黨,107,937,10,947,1329,0,3,1
北投區,桃源里,342,4900,2632,親民黨,民主進步黨,中國國民黨,139,1001,11,1012,1304,0,3,1
北投區,榮光里,402,5278,3366,親民黨,民主進步黨,中國國民黨,14,896,8,904,1239,0,3,1
北投區,榮華里,376,5372,3878,親民黨,民主進步黨,中國國民黨,19,1019,18,1037,1365,0,3,1
北投區,永和里,426,6708,4620,親民黨,民主進步黨,中國國民黨,34,841,9,850,1139,0,3,1
北投區,永明里,256,3460,2520,親民黨,民主進步黨,中國國民黨,45,1166,17,1183,1474,0,3,1
北投區,永欣里,348,5370,4450,親民黨,民主進步黨,中國國民黨,40,996,16,1012,1278,0,3,1
北投區,泉源里,118,1962,998,親民黨,民主進步黨,中國國民黨,155,398,2,400,525,0,3,1
北投區,洲美里,92,2032,738,親民黨,民主進步黨,中國國民黨,75,1431,12,1443,1816,0,3,1
北投區,清江里,414,6686,4068,親民黨,民主進步黨,中國國民黨,82,808,10,818,2080,0,3,1
北投區,湖山里,96,1252,820,親民黨,民主進步黨,中國國民黨,157,588,5,593,805,0,3,1
北投區,湖田里,54,700,450,親民黨,民主進步黨,中國國民黨,160,602,4,606,835,0,3,1
北投區,溫泉里,270,5144,3200,親民黨,民主進步黨,中國國民黨,102,848,4,852,1113,0,3,1
北投區,石牌里,298,4242,2486,親民黨,民主進步黨,中國國民黨,7,1211,5,1216,1522,0,3,1
北投區,福興里,420,5302,3400,親民黨,民主進步黨,中國國民黨,10,1125,11,1136,1442,0,3,1
北投區,秀山里,180,2270,1770,親民黨,民主進步黨,中國國民黨,127,1020,15,1035,1405,0,3,1
北投區,稻香里,272,3656,3118,親民黨,民主進步黨,中國國民黨,135,888,7,895,1202,0,3,1
北投區,立賢里,278,4170,2534,親民黨,民主進步黨,中國國民黨,61,922,4,926,1201,0,3,1
北投區,立農里,554,6916,4244,親民黨,民主進步黨,中國國民黨,65,963,23,986,1223,0,3,1
北投區,裕民里,442,5536,4032,親民黨,民主進步黨,中國國民黨,24,992,20,1012,1342,0,3,1
北投區,豐年里,228,3260,2282,親民黨,民主進步黨,中國國民黨,132,989,11,1000,1323,0,3,1
北投區,長安里,300,4642,2998,親民黨,民主進步黨,中國國民黨,94,1102,16,1118,1455,0,3,1
北投區,開明里,306,4684,3724,親民黨,民主進步黨,中國國民黨,116,1139,16,1155,1470,0,3,1
北投區,關渡里,612,8466,5356,親民黨,民主進步黨,中國國民黨,148,1196,7,1203,1572,0,3,1
南港區,三重里,402,5044,3898,親民黨,民主進步黨,中國國民黨,828,935,12,947,1267,0,3,1
南港區,中南里,216,2804,1738,親民黨,民主進步黨,中國國民黨,825,790,15,805,1055,0,3,1
南港區,中研里,544,6900,4856,親民黨,民主進步黨,中國國民黨,836,1061,10,1071,1370,0,3,1
南港區,九如里,372,3972,3970,親民黨,民主進步黨,中國國民黨,842,1083,13,1096,1419,0,3,1
南港區,仁福里,322,3466,3518,親民黨,民主進步黨,中國國民黨,893,855,11,866,1132,0,3,1
南港區,南港里,350,4356,3058,親民黨,民主進步黨,中國國民黨,821,896,15,911,1210,0,3,1
南港區,合成里,370,4960,3642,親民黨,民主進步黨,中國國民黨,868,807,10,817,1051,0,3,1
南港區,成福里,494,5042,4652,親民黨,民主進步黨,中國國民黨,888,1057,16,1073,1367,0,3,1
南港區,新光里,202,2476,2220,親民黨,民主進步黨,中國國民黨,873,895,5,900,1154,0,3,1
南港區,新富里,266,3106,1784,親民黨,民主進步黨,中國國民黨,833,816,7,823,1038,0,3,1
南港區,東新里,398,5422,3648,親民黨,民主進步黨,中國國民黨,851,917,8,925,1217,0,3,1
南港區,東明里,304,3074,2646,親民黨,民主進步黨,中國國民黨,859,1053,9,1062,1371,0,3,1
南港區,玉成里,300,3654,2262,親民黨,民主進步黨,中國國民黨,865,1112,9,1121,1476,0,3,1
南港區,百福里,302,3858,2756,親民黨,民主進步黨,中國國民黨,885,1173,21,1194,1565,0,3,1
南港區,聯成里,300,3464,3028,親民黨,民主進步黨,中國國民黨,876,1143,22,1165,1470,0,3,1
南港區,舊莊里,534,6490,4190,親民黨,民主進步黨,中國國民黨,846,1101,10,1111,1499,0,3,1
南港區,萬福里,270,3008,2680,親民黨,民主進步黨,中國國民黨,879,944,7,951,1181,0,3,1
南港區,西新里,282,3946,1986,親民黨,民主進步黨,中國國民黨,862,1024,15,1039,1321,0,3,1
南港區,重陽里,316,3548,2896,親民黨,民主進步黨,中國國民黨,856,1159,17,1176,1561,0,3,1
南港區,鴻福里,274,3348,2508,親民黨,民主進步黨,中國國民黨,882,1059,9,1068,1326,0,3,1
士林區,三玉里,282,4324,3000,親民黨,民主進步黨,中國國民黨,165,1011,14,1025,1314,0,3,1
士林區,仁勇里,180,3098,1674,親民黨,民主進步黨,中國國民黨,301,846,11,857,1162,0,3,1
士林區,公館里,66,1250,478,親民黨,民主進步黨,中國國民黨,416,897,11,908,1218,0,3,1
士林區,前港里,266,3626,1892,親民黨,民主進步黨,中國國民黨,337,985,13,998,1308,0,3,1
士林區,名山里,402,5006,3940,親民黨,民主進步黨,中國國民黨,399,1016,11,1027,1304,0,3,1
士林區,天和里,372,5274,3968,親民黨,民主進步黨,中國國民黨,183,1018,12,1030,1328,0,3,1
士林區,天壽里,268,3486,2692,親民黨,民主進步黨,中國國民黨,176,983,14,997,1280,0,3,1
