行政區別,村里別,侯友宜/趙少康,柯文哲/吳欣盈,賴清德/蕭美琴,侯友宜/趙少康_黨籍,柯文哲/吳欣盈_黨籍,賴清德/蕭美琴_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
內湖區,碧山里,3486,2204,3192,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,738,286,1,287,394,0,3,0
內湖區,秀湖里,3270,1838,2706,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,813,953,5,958,1284,0,3,0
內湖區,紫星里,3786,2410,3952,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,723,1063,7,1070,1422,0,3,0
內湖區,紫陽里,4026,2704,3968,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,756,958,12,970,1285,0,3,0
內湖區,紫雲里,3000,1904,2130,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,743,941,8,949,1265,0,3,0
內湖區,葫洲里,3518,2552,2736,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,752,1073,5,1078,1447,0,3,0
內湖區,蘆洲里,446,424,560,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,833,715,4,719,1040,0,3,0
內湖區,行善里,3132,2448,3530,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,794,1059,6,1065,1415,0,3,0
內湖區,西安里,3306,2132,3036,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,692,998,10,1008,1285,0,3,0
內湖區,西康里,4822,3126,4188,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,686,997,5,1002,1312,0,3,0
內湖區,西湖里,3146,2338,3580,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,681,859,8,867,1133,0,3,0
內湖區,週美里,3924,2886,4594,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,789,1006,1,1007,1364,0,3,0
內湖區,金湖里,4872,2890,4296,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,820,1188,6,1194,1550,0,3,0
內湖區,金瑞里,3138,2050,3338,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,734,1041,12,1053,1348,0,3,0
內湖區,金龍里,2638,1762,2396,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,731,1195,11,1206,1567,0,3,0
內湖區,麗山里,2470,1922,2970,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,834,981,5,986,1279,0,3,0
北投區,一德里,2834,2394,3986,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,151,779,3,782,1086,0,3,0
北投區,中和里,2300,1404,2406,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,127,832,6,838,1079,0,3,0
北投區,中央里,3178,2350,4366,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,94,662,4,666,865,0,3,0
北投區,中庸里,1574,1232,2098,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,120,781,4,785,1082,0,3,0
北投區,中心里,2694,2018,3164,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,115,776,6,782,1144,0,3,0
北投區,八仙里,2274,1528,2802,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,75,857,6,863,1155,0,3,0
北投區,吉利里,3262,2172,3050,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,53,890,7,897,1136,0,3,0
北投區,吉慶里,1980,1578,2838,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,58,825,7,832,1074,0,3,0
北投區,大同里,2156,1596,3038,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,104,826,4,830,1131,0,3,0
北投區,大屯里,380,324,752,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,168,728,3,731,1046,0,3,0
北投區,奇岩里,4824,3492,5958,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,81,1214,19,1233,1603,0,3,0
北投區,尊賢里,1724,1430,2726,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,62,1016,2,1018,1321,0,3,0
北投區,建民里,1778,1276,2590,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1,920,6,926,1209,0,3,0
北投區,振華里,3528,2080,3570,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,31,890,5,895,1193,0,3,0
北投區,文化里,2448,1168,1362,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,137,786,6,792,1035,0,3,0
北投區,文林里,1828,1216,2482,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,4,859,7,866,1121,0,3,0
北投區,智仁里,2586,1994,2764,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,131,965,13,978,1342,0,3,0
北投區,東華里,2144,1300,2094,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,50,789,4,793,1050,0,3,0
北投區,林泉里,1318,908,1262,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,113,863,10,873,1278,0,3,0
北投區,桃源里,2352,1972,3154,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,147,1039,7,1046,1385,0,3,0
北投區,榮光里,2998,2218,3264,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,16,867,7,874,1219,0,3,0
北投區,榮華里,3556,1908,3728,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,21,907,4,911,1248,0,3,0
北投區,永和里,4100,2444,4874,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,36,803,7,810,1135,0,3,0
