行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,六甲里,2844,0,0,0,0,1072,0,3916,114,4030,0,4030,1676,5706,70.63
,甲東里,2522,0,0,0,0,778,0,3300,120,3420,0,3420,1700,5120,66.8
,甲南里,1396,0,0,0,0,466,0,1862,50,1912,0,1912,790,2702,70.76
,龍湖里,1102,0,0,0,0,286,0,1388,38,1426,0,1426,632,2058,69.29
,七甲里,1142,0,0,0,0,234,0,1376,26,1402,0,1402,408,1810,77.46
,二甲里,2912,0,0,0,0,1124,0,4036,116,4152,0,4152,2030,6182,67.16
,水林里,2386,0,0,0,0,810,0,3196,76,3272,0,3272,948,4220,77.54
,中社里,1680,0,0,0,0,548,0,2228,60,2288,0,2288,874,3162,72.36
,龜港里,1132,0,0,0,0,498,0,1630,28,1658,0,1658,520,2178,76.12
,菁埔里,730,0,0,0,0,256,0,986,36,1022,0,1022,214,1236,82.69
,王爺里,922,0,0,0,0,324,0,1246,32,1278,0,1278,290,1568,81.51
,大丘里,700,0,0,0,0,280,0,980,24,1004,0,1004,276,1280,78.44
,總計,19468,0,0,0,0,6676,0,26144,720,26864,0,26864,10358,37222,72.17
官田區,,19604,0,0,0,0,5486,0,25090,594,25684,0,25684,10456,36140,71.07
,官田里,2426,0,0,0,0,744,0,3170,62,3232,0,3232,774,4006,80.68
,二鎮里,3180,0,0,0,0,598,0,3778,90,3868,0,3868,1880,5748,67.29
,湖山里,1348,0,0,0,0,204,0,1552,32,1584,0,1584,368,1952,81.15
,嘉南里,232,0,0,0,0,102,0,334,14,348,0,348,186,534,65.17
,大崎里,402,0,0,0,0,150,0,552,22,574,0,574,302,876,65.53
,隆田里,1860,0,0,0,0,776,0,2636,60,2696,0,2696,1108,3804,70.87
,隆本里,2546,0,0,0,0,1348,0,3894,80,3974,0,3974,1988,5962,66.66
,南里,1406,0,0,0,0,414,0,1820,32,1852,0,1852,424,2276,81.37
,東庄里,1684,0,0,0,0,108,0,1792,34,1826,0,1826,796,2622,69.64
,西庄里,788,0,0,0,0,46,0,834,26,860,0,860,410,1270,67.72
,拔林里,546,0,0,0,0,162,0,708,10,718,0,718,328,1046,68.64
,渡頭里,2218,0,0,0,0,690,0,2908,100,3008,0,3008,1250,4258,70.64
,社子里,968,0,0,0,0,144,0,1112,32,1144,0,1144,642,1786,64.05
,總計,19604,0,0,0,0,5486,0,25090,594,25684,0,25684,10456,36140,71.07
大內區,,9284,0,0,0,0,3366,0,12650,328,12978,0,12978,4448,17426,74.47
,石湖里,1058,0,0,0,0,346,0,1404,48,1452,0,1452,562,2014,72.1
,石林里,942,0,0,0,0,168,0,1110,44,1154,0,1154,202,1356,85.1
,石城里,1524,0,0,0,0,434,0,1958,56,2014,0,2014,886,2900,69.45
,內江里,884,0,0,0,0,456,0,1340,34,1374,0,1374,502,1876,73.24
,大內里,908,0,0,0,0,416,0,1324,26,1350,0,1350,276,1626,83.03
,內郭里,576,0,0,0,0,214,0,790,20,810,0,810,462,1272,63.68
,頭社里,912,0,0,0,0,316,0,1228,42,1270,0,1270,712,1982,64.08
,環湖里,818,0,0,0,0,416,0,1234,20,1254,0,1254,258,1512,82.94
,二溪里,1002,0,0,0,0,394,0,1396,26,1422,0,1422,294,1716,82.87
,曲溪里,660,0,0,0,0,206,0,866,12,878,0,878,294,1172,74.91
,總計,9284,0,0,0,0,3366,0,12650,328,12978,0,12978,4448,17426,74.47
佳里區,,48506,0,0,0,0,15530,0,64036,1300,65336,0,65336,30948,96284,67.86
,東寧里,1780,0,0,0,0,746,0,2526,58,2584,0,2584,926,3510,73.62
,忠仁里,2864,0,0,0,0,866,0,3730,82,3812,0,3812,1746,5558,68.59
,鎮山里,5438,0,0,0,0,1804,0,7242,138,7380,0,7380,3400,10780,68.46
,建南里,7224,0,0,0,0,2388,0,9612,200,9812,0,9812,5986,15798,62.11
,安西里,9996,0,0,0,0,3598,0,13594,256,13850,0,13850,7492,21342,64.9
,六安里,3270,0,0,0,0,1288,0,4558,106,4664,0,4664,2938,7602,61.35
,佳化里,2318,0,0,0,0,702,0,3020,42,3062,0,3062,1064,4126,74.21
,禮化里,1018,0,0,0,0,354,0,1372,34,1406,0,1406,448,1854,75.84
,興化里,1256,0,0,0,0,436,0,1692,28,1720,0,1720,792,2512,68.47
,營頂里,696,0,0,0,0,212,0,908,14,922,0,922,362,1284,71.81
,溪州里,400,0,0,0,0,130,0,530,20,550,0,550,212,762,72.18
,海澄里,1416,0,0,0,0,356,0,1772,24,1796,0,1796,1078,2874,62.49
,漳洲里,872,0,0,0,0,208,0,1080,20,1100,0,1100,326,1426,77.14
,頂里,950,0,0,0,0,376,0,1326,44,1370,0,1370,358,1728,79.28
,嘉福里,1092,0,0,0,0,288,0,1380,32,1412,0,1412,410,1822,77.5
,通興里,1278,0,0,0,0,290,0,1568,42,1610,0,1610,364,1974,81.56
,蚶寮里,924,0,0,0,0,210,0,1134,14,1148,0,1148,526,1674,68.58
,龍安里,1230,0,0,0,0,368,0,1598,28,1626,0,1626,440,2066,78.7
,民安里,1686,0,0,0,0,378,0,2064,46,2110,0,2110,624,2734,77.18
,子龍里,1656,0,0,0,0,308,0,1964,48,2012,0,2012,972,2984,67.43
,三協里,1142,0,0,0,0,224,0,1366,24,1390,0,1390,484,1874,74.17
,總計,48506,0,0,0,0,15530,0,64036,1300,65336,0,65336,30948,96284,67.86
學甲區,,23212,0,0,0,0,6098,0,29310,796,30106,0,30106,14734,44840,67.14
,仁得里,3958,0,0,0,0,1098,0,5056,100,5156,0,5156,2462,7618,67.68
,新榮里,2082,0,0,0,0,592,0,2674,78,2752,0,2752,1250,4002,68.77
,光華里,1188,0,0,0,0,204,0,1392,24,1416,0,1416,1088,2504,56.55
,宅港里,1062,0,0,0,0,236,0,1298,14,1312,0,1312,344,1656,79.23
,慈福里,1844,0,0,0,0,704,0,2548,90,2638,0,2638,1240,3878,68.02
,秀昌里,2300,0,0,0,0,588,0,2888,84,2972,0,2972,1676,4648,63.94
,明宜里,2000,0,0,0,0,470,0,2470,106,2576,0,2576,1262,3838,67.12
,豐和里,1406,0,0,0,0,224,0,1630,56,1686,0,1686,808,2494,67.6
,平和里,1520,0,0,0,0,198,0,1718,48,1766,0,1766,394,2160,81.76
,新達里,1822,0,0,0,0,694,0,2516,78,2594,0,2594,1680,4274,60.69
,大灣里,1186,0,0,0,0,276,0,1462,32,1494,0,1494,556,2050,72.88
,三慶里,1300,0,0,0,0,350,0,1650,44,1694,0,1694,1178,2872,58.98
,中洲里,1544,0,0,0,0,464,0,2008,42,2050,0,2050,796,2846,72.03
,總計,23212,0,0,0,0,6098,0,29310,796,30106,0,30106,14734,44840,67.14
西港區,,23208,0,0,0,0,6158,0,29366,726,30092,0,30092,10920,41012,73.37
,西港里,3296,0,0,0,0,912,0,4208,64,4272,0,4272,1882,6154,69.42
,南海里,2602,0,0,0,0,536,0,3138,92,3230,0,3230,1326,4556,70.9
,港東里,1598,0,0,0,0,464,0,2062,62,2124,0,2124,848,2972,71.47
,檨林里,1808,0,0,0,0,420,0,2228,54,2282,0,2282,830,3112,73.33
,後營里,1652,0,0,0,0,380,0,2032,58,2090,0,2090,658,2748,76.06
,營西里,1496,0,0,0,0,418,0,1914,50,1964,0,1964,682,2646,74.23
,金砂里,1102,0,0,0,0,226,0,1328,68,1396,0,1396,170,1566,89.14
,劉厝里,1542,0,0,0,0,358,0,1900,48,1948,0,1948,512,2460,79.19
,竹林里,1526,0,0,0,0,348,0,1874,48,1922,0,1922,420,2342,82.07
,永樂里,1296,0,0,0,0,262,0,1558,32,1590,0,1590,420,2010,79.1
,新復里,1154,0,0,0,0,404,0,1558,44,1602,0,1602,452,2054,77.99
,慶安里,4136,0,0,0,0,1430,0,5566,106,5672,0,5672,2720,8392,67.59
,總計,23208,0,0,0,0,6158,0,29366,726,30092,0,30092,10920,41012,73.37
七股區,,22646,0,0,0,0,6024,0,28670,660,29330,0,29330,10138,39468,74.31
,後港里,658,0,0,0,0,176,0,834,12,846,0,846,244,1090,77.61
,大潭里,832,0,0,0,0,212,0,1044,20,1064,0,1064,280,1344,79.17
,城內里,610,0,0,0,0,138,0,748,18,766,0,766,172,938,81.66
,篤加里,788,0,0,0,0,228,0,1016,16,1032,0,1032,582,1614,63.94
,頂山里,938,0,0,0,0,212,0,1150,38,1188,0,1188,506,1694,70.13
,西寮里,466,0,0,0,0,122,0,588,56,644,0,644,322,966,66.67
,塩埕里,352,0,0,0,0,124,0,476,4,480,0,480,322,802,59.85
,龍山里,1858,0,0,0,0,382,0,2240,48,2288,0,2288,1034,3322,68.87
,溪南里,354,0,0,0,0,188,0,542,24,566,0,566,122,688,82.27
,七股里,1246,0,0,0,0,202,0,1448,36,1484,0,1484,312,1796,82.63
,玉成里,874,0,0,0,0,304,0,1178,26,1204,0,1204,344,1548,77.78
,大埕里,1566,0,0,0,0,460,0,2026,50,2076,0,2076,1140,3216,64.55
,大寮里,1176,0,0,0,0,288,0,1464,24,1488,0,1488,396,1884,78.98
,看坪里,898,0,0,0,0,228,0,1126,20,1146,0,1146,210,1356,84.51
,樹林里,1534,0,0,0,0,304,0,1838,36,1874,0,1874,378,2252,83.21
,竹港里,846,0,0,0,0,200,0,1046,10,1056,0,1056,198,1254,84.21
,中寮里,684,0,0,0,0,268,0,952,20,972,0,972,500,1472,66.03
,竹橋里,802,0,0,0,0,262,0,1064,32,1096,0,1096,216,1312,83.54
,義合里,1260,0,0,0,0,400,0,1660,28,1688,0,1688,466,2154,78.37
,槊榔里,770,0,0,0,0,146,0,916,28,944,0,944,442,1386,68.11
,永吉里,1292,0,0,0,0,340,0,1632,22,1654,0,1654,272,1926,85.88
,三股里,1548,0,0,0,0,438,0,1986,58,2044,0,2044,744,2788,73.31
,十份里,1294,0,0,0,0,402,0,1696,34,1730,0,1730,936,2666,64.89
,總計,22646,0,0,0,0,6024,0,28670,660,29330,0,29330,10138,39468,74.31
將軍區,,18760,0,0,0,0,5438,0,24198,498,24696,0,24696,10924,35620,69.33
,長榮里,1164,0,0,0,0,318,0,1482,22,1504,0,1504,614,2118,71.01
,西華里,1422,0,0,0,0,566,0,1988,30,2018,0,2018,702,2720,74.19
,西和里,1170,0,0,0,0,356,0,1526,46,1572,0,1572,368,1940,81.03
,忠興里,1614,0,0,0,0,646,0,2260,44,2304,0,2304,846,3150,73.14
,嘉昌里,910,0,0,0,0,214,0,1124,18,1142,0,1142,602,1744,65.48
,保源里,1100,0,0,0,0,320,0,1420,14,1434,0,1434,514,1948,73.61
,苓和里,1230,0,0,0,0,324,0,1554,30,1584,0,1584,516,2100,75.43
,仁和里,750,0,0,0,0,122,0,872,16,888,0,888,426,1314,67.58
,北埔里,612,0,0,0,0,138,0,750,14,764,0,764,424,1188,64.31
,將富里,702,0,0,0,0,166,0,868,6,874,0,874,410,1284,68.07
,將貴里,564,0,0,0,0,184,0,748,16,764,0,764,412,1176,64.97
,三吉里,560,0,0,0,0,208,0,768,12,780,0,780,124,904,86.28
,玉山里,1062,0,0,0,0,224,0,1286,48,1334,0,1334,398,1732,77.02
,廣山里,526,0,0,0,0,246,0,772,26,798,0,798,566,1364,58.5
