行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,宋楚瑜/徐欣瑩_黨籍,朱立倫/王如玄_黨籍,蔡英文/陳建仁_黨籍
秀林鄉,文蘭村,228,738,206,親民黨,中國國民黨,民主進步黨
秀林鄉,景美村,448,840,600,親民黨,中國國民黨,民主進步黨
秀林鄉,水源村,314,572,414,親民黨,中國國民黨,民主進步黨
秀林鄉,秀林村,386,888,478,親民黨,中國國民黨,民主進步黨
秀林鄉,銅門村,278,722,322,親民黨,中國國民黨,民主進步黨
花蓮市,主信里,88,296,374,親民黨,中國國民黨,民主進步黨
花蓮市,主力里,446,1372,1434,親民黨,中國國民黨,民主進步黨
花蓮市,主勤里,140,430,470,親民黨,中國國民黨,民主進步黨
花蓮市,主和里,462,1560,1650,親民黨,中國國民黨,民主進步黨
花蓮市,主商里,106,302,410,親民黨,中國國民黨,民主進步黨
花蓮市,主學里,292,956,944,親民黨,中國國民黨,民主進步黨
花蓮市,主安里,422,1364,1164,親民黨,中國國民黨,民主進步黨
花蓮市,主工里,102,310,338,親民黨,中國國民黨,民主進步黨
花蓮市,主權里,948,2868,2540,親民黨,中國國民黨,民主進步黨
花蓮市,主睦里,82,286,320,親民黨,中國國民黨,民主進步黨
花蓮市,主義里,60,238,258,親民黨,中國國民黨,民主進步黨
花蓮市,主計里,118,406,392,親民黨,中國國民黨,民主進步黨
花蓮市,主農里,602,1934,1698,親民黨,中國國民黨,民主進步黨
花蓮市,國光里,172,654,558,親民黨,中國國民黨,民主進步黨
花蓮市,國威里,242,812,858,親民黨,中國國民黨,民主進步黨
花蓮市,國安里,82,308,312,親民黨,中國國民黨,民主進步黨
花蓮市,國富里,802,2654,2608,親民黨,中國國民黨,民主進步黨
花蓮市,國強里,298,882,772,親民黨,中國國民黨,民主進步黨
花蓮市,國慶里,190,448,552,親民黨,中國國民黨,民主進步黨
花蓮市,國治里,132,532,458,親民黨,中國國民黨,民主進步黨
花蓮市,國盛里,704,1740,1584,親民黨,中國國民黨,民主進步黨
花蓮市,國福里,312,640,600,親民黨,中國國民黨,民主進步黨
花蓮市,國聯里,464,1366,1516,親民黨,中國國民黨,民主進步黨
花蓮市,國興里,674,2258,1636,親民黨,中國國民黨,民主進步黨
花蓮市,國華里,334,1280,1236,親民黨,中國國民黨,民主進步黨
花蓮市,國裕里,720,2328,1906,親民黨,中國國民黨,民主進步黨
花蓮市,國防里,140,376,396,親民黨,中國國民黨,民主進步黨
花蓮市,國風里,556,1766,1610,親民黨,中國國民黨,民主進步黨
花蓮市,國魂里,324,1034,1094,親民黨,中國國民黨,民主進步黨
