行政區別,村里別,余夏夫,吳國民,周駿宥,哈尼．噶照Hani  Kacaw,曾志德,李正文,林正福,林聖富,林聖明,林莉芳,林高捷,笛布斯‧顗賚,羅名材Halu．Lihang,萬榮財Lafi‧Mayaw,蔡依靜Lamen‧Panay,謝東穎,賴國祥O‧SENG‧KATI,陳建忠,陳英妹,余夏夫_黨籍,吳國民_黨籍,周駿宥_黨籍,哈尼．噶照Hani  Kacaw_黨籍,曾志德_黨籍,李正文_黨籍,林正福_黨籍,林聖富_黨籍,林聖明_黨籍,林莉芳_黨籍,林高捷_黨籍,笛布斯‧顗賚_黨籍,羅名材Halu．Lihang_黨籍,萬榮財Lafi‧Mayaw_黨籍,蔡依靜Lamen‧Panay_黨籍,謝東穎_黨籍,賴國祥O‧SENG‧KATI_黨籍,陳建忠_黨籍,陳英妹_黨籍
吉安鄉,干城村,12.0,,50.0,,,46.0,,2.0,,,,48.0,30.0,,,10.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,慶豐村,52.0,,164.0,,,74.0,,10.0,,,,142.0,116.0,,,22.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,東昌村,348.0,,242.0,,,276.0,,16.0,,,,406.0,286.0,,,40.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,永安村,44.0,,82.0,,,48.0,,6.0,,,,66.0,22.0,,,14.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,永興村,40.0,,130.0,,,128.0,,2.0,,,,164.0,66.0,,,34.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,福興村,42.0,,82.0,,,24.0,,8.0,,,,68.0,16.0,,,10.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,稻香村,16.0,,38.0,,,36.0,,8.0,,,,60.0,8.0,,,18.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
壽豐鄉,光榮村,,30.0,,,6.0,,714.0,,,16.0,,,,112.0,50.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
壽豐鄉,共和村,,10.0,,,6.0,,84.0,,,2.0,,,,46.0,26.0,,4.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
壽豐鄉,壽豐村,,22.0,,,18.0,,300.0,,,30.0,,,,124.0,154.0,,36.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
