行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,候選人4＿候選人名稱,候選人4＿黨籍,候選人4_得票數
萬榮鄉,紅葉村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,34,蕭美琴,民主進步黨,34,黄師鵬,無黨籍及未經政黨推薦,2
萬榮鄉,萬榮村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,18,蕭美琴,民主進步黨,20,黄師鵬,無黨籍及未經政黨推薦,0
萬榮鄉,西林村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,16,蕭美琴,民主進步黨,14,黄師鵬,無黨籍及未經政黨推薦,0
萬榮鄉,見晴村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,6,蕭美琴,民主進步黨,18,黄師鵬,無黨籍及未經政黨推薦,2
萬榮鄉,馬遠村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,12,蕭美琴,民主進步黨,10,黄師鵬,無黨籍及未經政黨推薦,0
豐濱鄉,新社村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,26,蕭美琴,民主進步黨,40,黄師鵬,無黨籍及未經政黨推薦,2
豐濱鄉,港口村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,40,蕭美琴,民主進步黨,86,黄師鵬,無黨籍及未經政黨推薦,2
豐濱鄉,磯崎村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,22,蕭美琴,民主進步黨,28,黄師鵬,無黨籍及未經政黨推薦,2
豐濱鄉,豐濱村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,222,蕭美琴,民主進步黨,198,黄師鵬,無黨籍及未經政黨推薦,8
豐濱鄉,靜浦村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,22,蕭美琴,民主進步黨,26,黄師鵬,無黨籍及未經政黨推薦,0
鳳林鎮,北林里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,174,蕭美琴,民主進步黨,432,黄師鵬,無黨籍及未經政黨推薦,12
鳳林鎮,南平里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,282,蕭美琴,民主進步黨,302,黄師鵬,無黨籍及未經政黨推薦,6
鳳林鎮,大榮里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,516,蕭美琴,民主進步黨,676,黄師鵬,無黨籍及未經政黨推薦,16
鳳林鎮,山興里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,74,蕭美琴,民主進步黨,94,黄師鵬,無黨籍及未經政黨推薦,4
鳳林鎮,林榮里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,418,蕭美琴,民主進步黨,464,黄師鵬,無黨籍及未經政黨推薦,16
鳳林鎮,森榮里,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,34,蕭美琴,民主進步黨,30,黄師鵬,無黨籍及未經政黨推薦,4
鳳林鎮,長橋里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,420,蕭美琴,民主進步黨,494,黄師鵬,無黨籍及未經政黨推薦,20
鳳林鎮,鳳仁里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,594,蕭美琴,民主進步黨,728,黄師鵬,無黨籍及未經政黨推薦,14
鳳林鎮,鳳信里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,444,蕭美琴,民主進步黨,388,黄師鵬,無黨籍及未經政黨推薦,12
鳳林鎮,鳳智里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,712,蕭美琴,民主進步黨,540,黄師鵬,無黨籍及未經政黨推薦,16
鳳林鎮,鳳禮里,楊悟空,無黨籍及未經政黨推薦,12,王廷升,中國國民黨,388,蕭美琴,民主進步黨,362,黄師鵬,無黨籍及未經政黨推薦,2
鳳林鎮,鳳義里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,356,蕭美琴,民主進步黨,314,黄師鵬,無黨籍及未經政黨推薦,12
