縣市,行政區別,村里別,民主進步黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,不分區政黨有效票數A
花蓮縣,花蓮市,民治里、民主里,160,10,46,0,16,0,4,50,0,4,44,2,2,8,10,32,0,276,664
花蓮縣,花蓮市,民生里,474,22,54,0,42,2,2,90,2,6,90,2,0,10,18,52,14,494,1374
花蓮縣,花蓮市,民立里,430,30,76,6,114,2,0,122,8,12,82,0,10,8,12,136,10,656,1714
花蓮縣,花蓮市,民運里,688,28,114,2,64,4,4,100,8,20,184,0,4,14,52,168,4,902,2360
花蓮縣,萬榮鄉,明利村,128,8,52,0,4,4,16,0,8,0,58,4,2,8,16,20,0,336,664
花蓮縣,萬榮鄉,紅葉村,96,8,20,0,12,2,2,28,6,2,78,6,2,14,20,24,2,566,888
花蓮縣,萬榮鄉,萬榮村,108,8,32,0,4,2,48,6,2,2,80,2,0,8,16,28,6,476,828
花蓮縣,萬榮鄉,西林村,90,16,52,0,2,0,16,26,0,0,96,4,12,16,22,58,0,662,1072
花蓮縣,萬榮鄉,見晴村,66,4,8,0,2,0,10,0,2,2,48,2,2,10,16,42,2,288,504
花蓮縣,萬榮鄉,馬遠村,100,8,32,0,20,2,6,0,0,4,66,2,4,16,10,72,0,652,994
花蓮縣,豐濱鄉,新社村,80,4,12,2,2,0,2,4,2,0,54,6,0,6,0,20,6,374,574
花蓮縣,豐濱鄉,港口村,136,10,122,0,20,4,2,12,0,4,34,2,16,24,12,2,2,362,764
花蓮縣,豐濱鄉,磯崎村,48,2,12,0,6,0,16,8,2,4,16,2,4,0,2,4,0,218,344
花蓮縣,豐濱鄉,豐濱村,248,26,62,0,14,4,0,16,12,4,72,6,12,10,18,32,4,924,1464
花蓮縣,豐濱鄉,靜浦村,80,4,22,2,10,4,2,6,2,2,36,0,8,2,0,8,2,366,556
花蓮縣,鳳林鎮,北林里,310,10,2,0,4,2,2,30,6,6,38,0,2,4,2,8,0,186,612
花蓮縣,鳳林鎮,南平里,214,10,18,0,4,0,2,24,2,4,26,0,0,2,14,6,4,276,606
花蓮縣,鳳林鎮,大榮里,460,40,56,2,42,8,6,32,2,0,82,6,6,4,12,22,6,588,1374
花蓮縣,鳳林鎮,山興里,106,8,90,2,6,2,0,8,2,2,32,6,4,0,6,8,0,290,572
花蓮縣,鳳林鎮,林榮里,268,14,34,0,14,4,4,20,4,0,60,0,2,20,6,10,10,456,926
花蓮縣,鳳林鎮,森榮里,22,2,6,0,0,0,0,4,0,0,8,0,0,0,0,0,0,80,122
花蓮縣,鳳林鎮,長橋里,346,30,42,2,28,6,2,22,2,0,70,2,4,12,14,22,4,454,1062
花蓮縣,鳳林鎮,鳳仁里,416,20,52,2,22,4,8,52,2,2,108,4,6,12,8,20,6,632,1376
花蓮縣,鳳林鎮,鳳信里,260,18,134,2,16,0,2,42,6,2,120,8,8,18,24,16,4,732,1412
花蓮縣,鳳林鎮,鳳智里,280,22,44,0,28,2,0,48,0,4,98,0,2,12,20,12,4,778,1354
花蓮縣,鳳林鎮,鳳禮里,220,14,18,0,14,0,2,18,0,2,62,0,2,10,12,4,2,406,786
花蓮縣,鳳林鎮,鳳義里,172,2,24,0,6,0,0,14,2,6,60,0,10,10,12,18,6,362,704
