行政區別,村里別,吳香蘭 Hisa‧Sakay,田韻馨,程美蓮,簡智隆,連一龍,金淑敏,高小成 Haisul．Tanapima,吳香蘭 Hisa‧Sakay_黨籍,田韻馨_黨籍,程美蓮_黨籍,簡智隆_黨籍,連一龍_黨籍,金淑敏_黨籍,高小成 Haisul．Tanapima_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
花蓮市,主工里,,4.0,0.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,32,3,0,3,5,0,1,2
花蓮市,主權里,,22.0,22.0,,26.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,48,10,0,10,20,0,1,2
花蓮市,主睦里,,2.0,2.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,35,2,0,2,8,0,1,2
花蓮市,主義里,,2.0,2.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,34,3,0,3,8,0,1,2
花蓮市,主計里,,2.0,2.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,36,5,0,5,16,0,1,2
花蓮市,主農里,,30.0,20.0,,14.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,42,10,0,10,17,0,1,2
花蓮市,國光里,,8.0,6.0,,8.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,63,11,0,11,27,0,1,2
花蓮市,國威里,,0.0,0.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,59,0,0,0,12,0,1,2
花蓮市,國安里,,0.0,6.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,62,8,0,8,17,0,1,2
花蓮市,國富里,,20.0,34.0,,32.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,78,12,0,12,25,0,1,2
花蓮市,國強里,,14.0,12.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,76,6,0,6,16,0,1,2
花蓮市,國慶里,,0.0,4.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,87,3,0,3,9,0,1,2
花蓮市,國治里,,2.0,14.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,61,8,0,8,17,0,1,2
花蓮市,國盛里,,32.0,52.0,,18.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,72,22,1,23,52,0,1,2
花蓮市,國福里,,28.0,10.0,,8.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,92,13,0,13,27,0,1,2
花蓮市,國聯里,,12.0,30.0,,16.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,69,9,0,9,17,0,1,2
花蓮市,國興里,,26.0,44.0,,22.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,88,7,0,7,19,0,1,2
花蓮市,國華里,,8.0,16.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,65,7,0,7,15,0,1,2
花蓮市,國裕里,,14.0,18.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,83,3,1,4,19,0,1,2
花蓮市,國防里,,6.0,0.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,64,6,1,7,15,0,1,2
花蓮市,國風里,,18.0,14.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,56,4,1,5,7,0,1,2
花蓮市,國魂里,,12.0,4.0,,4.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,67,5,1,6,16,0,1,2
花蓮市,民主里,,0.0,4.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,26,5,0,5,10,0,1,2
花蓮市,民享里,,28.0,50.0,,26.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,10,31,0,31,61,0,1,2
花蓮市,民勤里,,24.0,48.0,,30.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,3,15,1,16,37,0,1,2
花蓮市,民孝里,,44.0,38.0,,38.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,13,15,1,16,39,0,1,2
花蓮市,民德里,,6.0,6.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,1,5,3,8,11,0,1,2
花蓮市,民心里,,4.0,8.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,9,9,0,9,21,0,1,2
花蓮市,民意里,,14.0,16.0,,32.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,6,6,0,6,27,0,1,2
花蓮市,民政里,,12.0,28.0,,22.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,18,6,0,6,23,0,1,2
花蓮市,民族里,,0.0,2.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,27,1,1,2,6,0,1,2
花蓮市,民有里,,0.0,4.0,,4.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,25,4,0,4,8,0,1,2
花蓮市,民樂里,,8.0,10.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,24,10,0,10,15,0,1,2
花蓮市,民權里,,0.0,2.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,29,1,0,1,7,0,1,2
花蓮市,民生里,,4.0,10.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,28,7,1,8,17,0,1,2
花蓮市,民立里,,6.0,8.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,12,0,12,32,0,1,2
花蓮市,民運里,,16.0,24.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,16,14,0,14,27,0,1,2
萬榮鄉,明利村,486.0,,,326.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,406,6,412,549,0,1,1
萬榮鄉,紅葉村,594.0,,,764.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,679,24,703,934,0,1,1
萬榮鄉,萬榮村,386.0,,,622.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,504,18,522,671,0,1,1
萬榮鄉,西林村,664.0,,,650.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,657,32,689,940,0,1,1
萬榮鄉,見晴村,398.0,,,290.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,344,7,351,449,0,1,1
萬榮鄉,馬遠村,358.0,,,958.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,658,23,681,994,0,1,1
豐濱鄉,新社村,2.0,,,2.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,0,2,4,0,1,1
豐濱鄉,港口村,0.0,,,2.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1,0,1,3,0,1,1
豐濱鄉,磯崎村,0.0,,,62.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,31,2,33,47,0,1,1
豐濱鄉,豐濱村,12.0,,,10.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,11,2,13,18,0,1,1
豐濱鄉,靜浦村,0.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,0,1,1,2,0,1,1
鳳林鎮,北林里,16.0,,,6.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,11,0,11,20,0,1,1
鳳林鎮,南平里,16.0,,,2.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,9,1,10,12,0,1,1
鳳林鎮,大榮里,46.0,,,14.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,30,3,33,44,0,1,1
鳳林鎮,山興里,2.0,,,10.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,0,6,10,0,1,1
鳳林鎮,林榮里,20.0,,,22.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,21,1,22,35,0,1,1
鳳林鎮,森榮里,2.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1,0,1,2,0,1,1
鳳林鎮,長橋里,36.0,,,58.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,47,2,49,70,0,1,1
鳳林鎮,鳳仁里,6.0,,,28.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,17,1,18,25,0,1,1
鳳林鎮,鳳信里,50.0,,,20.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,35,5,40,74,0,1,1
鳳林鎮,鳳智里,10.0,,,24.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,17,1,18,28,0,1,1
鳳林鎮,鳳禮里,4.0,,,4.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,4,1,5,7,0,1,1
鳳林鎮,鳳義里,2.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1,0,1,4,0,1,1
