縣市,行政區別,村里別,小民參政歐巴桑聯盟,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,不分區政黨有效票數A
花蓮縣,富里鄉,石牌村,4,6,4,158,2,4,0,2,12,10,4,0,202,4,10,550,972
花蓮縣,富里鄉,竹田村,6,2,2,180,6,6,2,4,8,10,2,0,202,2,12,712,1156
花蓮縣,富里鄉,羅山村,2,2,0,94,0,4,0,2,4,2,0,0,82,2,10,258,462
花蓮縣,富里鄉,萬寧村,0,4,0,62,0,4,2,4,4,6,2,2,96,4,8,372,570
花蓮縣,富里鄉,豐南村,0,0,0,68,0,0,6,2,8,4,2,2,106,2,4,412,616
花蓮縣,新城鄉,佳林村,6,4,4,264,0,6,0,6,8,6,8,0,284,0,18,654,1268
花蓮縣,新城鄉,北埔村,34,14,14,892,6,22,0,14,32,16,8,2,788,4,84,1932,3862
花蓮縣,新城鄉,嘉新村,2,2,0,260,0,6,8,2,10,10,2,2,228,0,16,856,1404
花蓮縣,新城鄉,嘉里村,22,18,18,1136,2,32,6,10,36,30,24,12,876,4,94,2428,4748
花蓮縣,新城鄉,大漢村,34,10,8,686,0,20,0,10,20,28,6,4,464,4,40,1734,3068
花蓮縣,新城鄉,康樂村,12,8,4,578,6,16,4,8,32,14,12,6,648,2,34,1574,2958
花蓮縣,新城鄉,新城村,6,6,8,278,4,4,0,4,14,6,4,2,462,6,16,744,1564
花蓮縣,新城鄉,新秀村,16,10,18,556,2,10,0,10,14,6,6,0,342,2,40,1040,2072
花蓮縣,新城鄉,順安村,2,0,6,204,0,4,2,0,14,0,2,2,408,6,12,406,1068
花蓮縣,玉里鎮,三民里,2,2,6,110,4,4,2,4,12,6,2,0,262,4,8,418,846
花蓮縣,玉里鎮,中城里,28,6,24,1120,2,44,4,22,42,34,14,6,1430,8,114,3218,6116
花蓮縣,玉里鎮,啟模里,12,8,8,286,4,6,2,8,16,4,0,2,368,2,22,902,1650
花蓮縣,玉里鎮,國武里,4,0,4,252,2,0,0,2,6,2,6,4,386,0,22,684,1374
花蓮縣,玉里鎮,大禹里,4,6,2,206,4,6,2,6,2,8,2,12,202,2,24,624,1112
花蓮縣,玉里鎮,德武里,0,6,2,108,0,6,2,2,4,4,2,0,70,0,6,564,776
花蓮縣,玉里鎮,春日里,2,4,2,100,0,6,0,8,8,18,0,4,192,4,6,506,860
花蓮縣,玉里鎮,東豐里,2,4,2,90,0,4,0,2,2,12,0,0,94,0,4,316,532
花蓮縣,玉里鎮,松浦里,10,10,2,140,4,8,4,8,12,18,10,2,182,8,16,708,1142
花蓮縣,玉里鎮,樂合里,6,0,0,110,0,2,0,2,12,12,0,2,116,2,8,640,912
花蓮縣,玉里鎮,永昌里,8,2,6,188,2,0,0,8,10,6,4,4,222,6,8,660,1134
花蓮縣,玉里鎮,泰昌里,6,2,4,210,0,6,2,0,2,6,2,6,194,0,16,622,1078
花蓮縣,玉里鎮,源城里,10,8,2,224,0,4,2,0,22,18,0,2,286,0,12,776,1366
花蓮縣,玉里鎮,觀音里,4,8,4,196,2,22,2,4,16,14,4,2,288,8,24,896,1494
花蓮縣,玉里鎮,長良里,0,4,4,92,4,2,2,4,8,6,4,2,98,6,8,322,566
花蓮縣,瑞穗鄉,奇美村,6,0,0,24,0,2,0,2,0,4,2,0,26,0,2,238,306
花蓮縣,瑞穗鄉,富民村,0,4,4,88,2,6,4,0,6,8,4,2,86,2,16,566,798
花蓮縣,瑞穗鄉,富源村,4,4,4,134,0,2,0,2,6,18,6,2,176,0,10,408,776
花蓮縣,瑞穗鄉,富興村,2,2,2,68,2,6,0,4,8,10,4,0,152,4,4,336,604
花蓮縣,瑞穗鄉,瑞北村,0,0,2,70,0,0,0,2,2,4,0,0,118,0,2,386,586
