行政區別,村里別,徐榛蔚,谷辣斯．尤達卡 Kolas Yotaka,黄師鵬,徐榛蔚_黨籍,谷辣斯．尤達卡 Kolas Yotaka_黨籍,黄師鵬_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
花蓮市,主工里,294,234,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,274,18,292,484,0,1,2
花蓮市,主權里,2990,1778,194,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,2481,60,2541,4986,0,1,2
花蓮市,主睦里,296,188,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,252,4,256,521,0,1,2
花蓮市,主義里,364,196,12,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,286,12,298,428,0,1,2
花蓮市,主計里,498,294,40,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,416,10,426,800,0,1,2
花蓮市,主農里,2308,1312,190,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1905,46,1951,3341,0,1,2
花蓮市,國光里,678,364,66,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,554,21,575,1133,0,1,2
花蓮市,國威里,650,534,84,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,634,20,654,1654,0,1,2
花蓮市,國安里,334,210,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,283,7,290,470,0,1,2
花蓮市,國富里,2824,1718,152,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,2347,65,2412,4649,0,1,2
花蓮市,國強里,1026,608,82,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,858,20,878,1713,0,1,2
花蓮市,國慶里,570,452,50,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,536,14,550,1025,0,1,2
花蓮市,國治里,428,346,38,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,406,6,412,770,0,1,2
花蓮市,國盛里,1894,1132,138,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1582,34,1616,3479,0,1,2
花蓮市,國福里,1022,506,62,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,795,20,815,1393,0,1,2
花蓮市,國聯里,1514,1150,144,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1404,36,1440,2675,0,1,2
花蓮市,國興里,2474,1320,172,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1983,43,2026,4081,0,1,2
花蓮市,國華里,1290,816,118,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1112,20,1132,2048,0,1,2
花蓮市,國裕里,2438,1340,164,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1971,33,2004,4013,0,1,2
花蓮市,國防里,416,314,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,381,8,389,774,0,1,2
花蓮市,國風里,1930,1226,158,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1657,48,1705,3012,0,1,2
花蓮市,國魂里,992,678,106,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,888,25,913,1762,0,1,2
花蓮市,民主里,386,160,16,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,281,4,285,517,0,1,2
花蓮市,民享里,1810,760,94,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1332,32,1364,2864,0,1,2
花蓮市,民勤里,1718,898,124,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1370,32,1402,2960,0,1,2
花蓮市,民孝里,2156,988,142,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1643,28,1671,3223,0,1,2
花蓮市,民德里,844,576,66,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,743,21,764,1409,0,1,2
花蓮市,民心里,558,332,48,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,469,19,488,923,0,1,2
花蓮市,民意里,1362,382,64,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,904,31,935,1909,0,1,2
花蓮市,民政里,2214,1164,192,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1785,54,1839,3529,0,1,2
花蓮市,民族里,252,144,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,207,5,212,376,0,1,2
花蓮市,民有里,376,280,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,337,13,350,548,0,1,2
花蓮市,民樂里,374,210,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,308,4,312,578,0,1,2
花蓮市,民權里,270,166,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,229,5,234,410,0,1,2
花蓮市,民生里,506,492,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,508,10,518,1021,0,1,2
花蓮市,民立里,788,488,74,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,675,17,692,1514,0,1,2
花蓮市,民運里,1204,660,90,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,977,32,1009,1922,0,1,2
萬榮鄉,明利村,718,192,6,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,458,13,471,628,0,1,2
萬榮鄉,紅葉村,1132,326,12,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,735,17,752,1026,0,1,2
萬榮鄉,萬榮村,880,240,8,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,564,10,574,740,0,1,2
萬榮鄉,西林村,1108,314,10,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,716,14,730,1013,0,1,2
萬榮鄉,見晴村,576,168,4,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,374,2,376,487,0,1,2
萬榮鄉,馬遠村,1142,222,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,693,18,711,1044,0,1,2
豐濱鄉,新社村,582,174,6,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,381,11,392,600,0,1,2
豐濱鄉,港口村,680,396,8,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,542,20,562,738,0,1,2
豐濱鄉,磯崎村,352,210,24,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,293,5,298,388,0,1,2
豐濱鄉,豐濱村,1348,584,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,982,41,1023,1570,0,1,2
豐濱鄉,靜浦村,572,270,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,431,13,444,612,0,1,2
鳳林鎮,北林里,420,322,30,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,386,6,392,520,0,1,2
鳳林鎮,南平里,516,240,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,388,17,405,509,0,1,2
鳳林鎮,大榮里,1012,588,50,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,825,22,847,1193,0,1,2
鳳林鎮,山興里,484,146,4,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,317,11,328,516,0,1,2
鳳林鎮,林榮里,708,306,40,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,527,25,552,773,0,1,2
鳳林鎮,森榮里,100,16,2,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,59,1,60,81,0,1,2
鳳林鎮,長橋里,778,364,66,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,604,18,622,938,0,1,2
鳳林鎮,鳳仁里,1028,514,78,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,810,24,834,1129,0,1,2
鳳林鎮,鳳信里,1122,466,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,805,33,838,1284,0,1,2
鳳林鎮,鳳智里,1006,400,60,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,733,26,759,1014,0,1,2
鳳林鎮,鳳禮里,522,322,36,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,440,15,455,552,0,1,2
鳳林鎮,鳳義里,500,256,30,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,393,12,405,595,0,1,2
